,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
0,0.199535996,0.446038872,0.177255973,0.462626427,0.182982668,0.421770871,0.158737168,0.491293162,0.171123445,0.402941436,0.203787178,0.559992373,0.23875013,0.371623069,0.356271237,0.531714082,0.378820658,0.425815105,0.477797449,0.522553325,0.488104105,0.476306289,0.455678999,0.537054896,0.45815748,0.42457217,0.575384617,0.521342695,0.57186836,0.415719062,0.727688253,0.511975765,0.722450972,0.388876408
1,0.197678223,0.443457454,0.174922571,0.462586254,0.182156265,0.417685896,0.157641456,0.490420222,0.174352929,0.399785429,0.202982754,0.557762921,0.237759218,0.371047109,0.357581466,0.528096259,0.369837642,0.416909069,0.465998501,0.513753772,0.47456345,0.469992906,0.423556507,0.534955144,0.42793712,0.418213904,0.560722411,0.523556709,0.558886945,0.418519735,0.721415401,0.513352931,0.728761792,0.390926003
2,0.199543774,0.442406029,0.177857384,0.461756527,0.183779746,0.418338031,0.162180647,0.49338147,0.174881384,0.399808049,0.216297626,0.550434828,0.249014065,0.377786636,0.359211802,0.523833275,0.372097909,0.429386407,0.469447464,0.511643529,0.473500669,0.458614558,0.408786654,0.53426671,0.411925942,0.425299972,0.545810878,0.524913788,0.544807017,0.422350615,0.714799106,0.515877664,0.723110676,0.391179174
3,0.204302147,0.445183098,0.183551565,0.464391142,0.188586771,0.424107015,0.16527085,0.490894467,0.176635563,0.404888242,0.214922473,0.558368325,0.246874988,0.36750868,0.357184976,0.51744312,0.371863276,0.421337754,0.465154678,0.500419974,0.474188924,0.456441194,0.403493881,0.546301246,0.405205488,0.422563165,0.544663489,0.523123562,0.543102324,0.421830207,0.714167893,0.516883492,0.709890068,0.384811252
4,0.20048216,0.443047434,0.180954129,0.461399734,0.18644461,0.421335071,0.165073186,0.494211257,0.17725122,0.401657254,0.219310671,0.552541971,0.249566793,0.379178643,0.353554159,0.522468626,0.36759004,0.419180363,0.464013517,0.50187093,0.474352121,0.460578918,0.410947442,0.540504575,0.41474095,0.425119698,0.545870483,0.529509962,0.551316559,0.419587672,0.709465504,0.5155738,0.719165266,0.382416904
5,0.202629641,0.440770596,0.181586951,0.461774886,0.185706437,0.420785904,0.166459903,0.493158698,0.178474545,0.403120697,0.221244901,0.55287987,0.24641794,0.380045474,0.357413143,0.516736388,0.365639538,0.415085256,0.460942686,0.495611399,0.468895435,0.45096755,0.401572883,0.543379128,0.403833091,0.42925173,0.544062793,0.530323029,0.540186048,0.425817162,0.716709316,0.521437585,0.716405153,0.383982569
6,0.202830911,0.445491701,0.182202294,0.463912368,0.186827153,0.425130874,0.164399907,0.495461226,0.177358866,0.405489296,0.224932536,0.552529156,0.24546805,0.376838118,0.350732207,0.503868043,0.368839562,0.408194989,0.464978874,0.474981636,0.474783868,0.435941219,0.40543136,0.548246384,0.411539227,0.436990172,0.543957412,0.524000823,0.552340209,0.4225609,0.7141698,0.514348865,0.715788662,0.383665085
7,0.200292856,0.4438214,0.182157457,0.463824093,0.186407581,0.423496187,0.166582644,0.493875265,0.178333372,0.404188186,0.223526314,0.551995039,0.248567417,0.37158519,0.358579934,0.504602671,0.370940894,0.411123067,0.456806362,0.480374008,0.466950953,0.433358282,0.401822954,0.545153081,0.403791249,0.431573123,0.536855936,0.528207958,0.538846612,0.427162975,0.71113342,0.517558515,0.712670624,0.391133666
8,0.203977287,0.444073558,0.184520811,0.46216327,0.187671825,0.42492193,0.166433811,0.494989663,0.178226769,0.406225264,0.228911936,0.551200211,0.244576052,0.378385454,0.349900842,0.497541994,0.36921826,0.405494362,0.457793683,0.464685738,0.46854195,0.425423324,0.407837391,0.541210711,0.416675746,0.43873629,0.540921926,0.523688614,0.547139823,0.425293267,0.708713531,0.515305281,0.714541733,0.390186042
9,0.201070249,0.445196033,0.18108511,0.463000596,0.184716657,0.424165696,0.165822014,0.495251626,0.175534874,0.404156536,0.230566323,0.549472213,0.24462907,0.376271963,0.357797652,0.495949894,0.369805396,0.409467816,0.459794492,0.465120792,0.467762321,0.421809733,0.406442046,0.542340398,0.415075779,0.438544482,0.540266693,0.522502899,0.546926498,0.426283866,0.710763395,0.516678274,0.712460577,0.392615616
