,timestamp,video_width,video_height,ball_x,ball_y,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
0,0.0,405,532,NULL,NULL,186.81,109.74,192.09,96.62,177.24,102.73,199.52,86.95,163.49,97.51,227.53,108.67,146.98,128.95,218.05,179.77,176.01,202.0,221.47,248.22,201.23,248.2,216.15,221.84,173.58,225.42,215.82,294.21,172.68,291.53,206.84,382.52,159.47,376.31
1,0.03,405,532,NULL,NULL,184.65,107.86,191.27,95.46,174.24,99.63,199.14,87.65,163.57,96.6,227.28,108.94,146.95,127.5,218.99,181.89,178.37,197.38,221.61,242.25,201.21,248.63,215.68,216.82,173.09,218.46,218.05,289.43,171.83,290.61,207.76,378.59,159.95,377.62
2,0.06,405,532,NULL,NULL,183.99,108.23,190.68,95.54,173.42,99.62,198.96,87.95,162.66,96.65,226.7,108.8,147.76,128.42,217.37,177.82,176.39,195.53,220.3,226.78,200.52,228.33,215.03,218.72,173.9,221.25,217.29,291.03,172.16,292.98,207.94,375.39,159.37,375.87
3,0.09,405,532,NULL,NULL,183.35,109.17,190.41,97.06,173.1,100.81,198.53,88.13,163.31,96.56,226.87,108.75,147.41,123.0,217.01,178.9,175.05,194.42,213.98,216.29,192.34,221.97,215.7,219.16,174.1,220.35,216.46,292.23,172.77,294.32,207.67,374.75,154.53,377.32
4,0.12,405,532,171.5360565185547,441.1091613769531,184.49,108.85,190.63,96.06,173.78,100.41,199.13,88.21,163.38,97.11,226.61,108.57,148.58,125.6,218.06,176.29,172.49,192.86,217.17,213.53,190.89,222.48,215.33,220.87,173.57,224.41,216.36,292.01,172.0,293.79,207.95,375.45,153.85,378.47
5,0.15,405,532,171.5360565185547,441.1091613769531,185.19,109.95,190.76,97.37,174.47,101.1,199.8,88.06,164.42,96.15,228.16,110.2,146.22,124.0,217.66,181.72,171.96,195.74,202.66,228.36,183.91,237.36,217.93,217.88,174.53,220.29,216.92,292.78,169.88,298.62,208.88,374.58,156.07,379.79
6,0.18,405,532,171.47024536132812,441.0535583496094,180.8,107.63,188.73,96.3,172.28,99.35,198.04,88.02,166.04,94.75,225.9,112.88,148.66,124.24,213.28,181.66,171.31,199.11,195.18,221.48,176.16,228.92,218.68,217.7,175.81,220.57,215.33,293.19,169.55,297.15,209.51,374.84,154.5,377.26
7,0.21,405,532,171.47024536132812,441.0535583496094,179.79,107.48,187.67,96.4,171.52,99.59,198.3,88.05,166.07,95.3,226.4,112.56,148.93,122.92,209.5,179.83,170.84,197.42,200.64,215.15,178.41,228.34,217.55,217.75,174.99,220.06,213.58,293.91,169.45,297.27,209.16,375.51,155.12,376.79
8,0.24,405,532,171.47024536132812,441.0535583496094,181.54,102.64,189.06,92.41,172.99,95.83,199.66,85.83,166.48,93.46,225.03,111.36,152.35,123.39,212.02,168.86,165.05,191.39,201.14,189.77,176.79,209.28,220.22,219.27,178.75,226.67,214.89,290.64,170.69,292.27,209.84,373.75,156.4,375.31
9,0.27,405,532,171.41477966308594,441.0284118652344,181.77,103.75,189.43,93.2,173.34,96.69,199.95,86.07,166.94,93.51,225.7,110.9,151.09,122.35,211.87,170.83,164.36,192.39,194.0,194.21,174.75,217.07,220.11,218.52,178.61,226.33,214.63,291.11,170.94,292.21,209.45,373.69,156.66,375.63
